,Ensemble,logModel,knn5,knnsqrtn,gradientdeci,gradientdeka,preciseTree,recallTree,preciseForest,recallForest
0,0.1994337861002389,0.04237582059277434,0.2,0.24691358024691357,0.10997138291855331,1.0,0.11637931034482758,0.0,0.09745926646216478,0.075
1,0.13938471597958302,0.38226484182197534,0.0,0.2345679012345679,0.3468314833323901,0.0,0.0,0.0,0.19532179334303107,0.14561630036630036
2,0.41482742384571725,0.23556292513653318,0.4,0.2839506172839506,0.29603605818640466,0.0,0.5263157894736842,1.0,0.41198375091853795,0.7306163003663003
3,0.4571841194641746,0.31911900012588074,0.2,0.20987654320987653,0.5872526570161052,0.0,1.0,1.0,0.6182246486402021,0.835
4,0.5261842879798423,0.2150318967189465,0.4,0.20987654320987653,0.33972080424680595,1.0,0.21788772597526165,1.0,0.4304259949987619,0.6935714285714286
5,0.1578618273203659,0.20848877534606036,0.2,0.2345679012345679,0.305286775112174,0.0,0.21788772597526165,0.0,0.19877154513132964,0.11048809523809525
6,0.2451758638297196,0.11150221489208731,0.4,0.2716049382716049,0.1136079537264668,1.0,0.11637931034482758,0.0,0.13075515779849217,0.07025
7,0.2384943518203658,0.08771250175302932,0.2,0.19753086419753085,0.24136288256675895,1.0,0.21788772597526165,0.0,0.1547015203033723,0.12857142857142856
8,0.6159149509140286,0.3396048486615141,0.4,0.2839506172839506,0.6587915903755964,1.0,1.0,1.0,0.6384098821340317,0.86
9,0.22531492492081728,0.2177263037398729,0.0,0.25925925925925924,0.2512294811330284,1.0,0.0,0.0,0.11976720065322394,0.10025
10,0.18701539886668364,0.04635086893705876,0.2,0.1728395061728395,0.05992288862572605,1.0,0.1345707656612529,0.0,0.09645915131350319,0.030515673374613
11,0.15453369593507402,0.3802342781960291,0.0,0.24691358024691357,0.3111114031412081,0.0,0.0,1.0,0.2333195037608725,0.25522328609728073
12,0.14938184119209744,0.14674349444508283,0.2,0.24691358024691357,0.18580795851570006,0.0,0.5263157894736842,0.0,0.13783132175898266,0.05639375386843242
13,0.3845575766974363,0.31629716756177634,0.2,0.19753086419753085,0.553093005995839,0.0,1.0,1.0,0.3923733036605155,0.55
14,0.32362849987219605,0.179701436799066,0.6,0.2839506172839506,0.2963234075124958,1.0,0.3043032786885246,0.0,0.15828139814300368,0.055796753155336824
15,0.13164304553565204,0.22648776821891103,0.0,0.20987654320987653,0.30011704964718944,0.0,0.3043032786885246,0.0,0.19340271839533502,0.09508042895442358
16,0.23672334264839145,0.11884099124777131,0.4,0.2716049382716049,0.1352559185957647,1.0,0.1345707656612529,0.0,0.11639797916480589,0.025
17,0.2569190804402584,0.09265890397111474,0.4,0.25925925925925924,0.20243190526757682,1.0,0.19642857142857142,0.0,0.10724118838768057,0.035171753155336834
18,0.5906628667417444,0.3418721120625006,0.2,0.24691358024691357,0.6441860387400287,1.0,1.0,1.0,0.6360431286788678,0.8600804289544236
19,0.2362305606640762,0.25165219024530705,0.2,0.19753086419753085,0.22787893238942952,1.0,0.0,0.0,0.12510970914591907,0.095
20,0.25182719633904294,0.01106374151525236,0.8,0.20987654320987653,0.049921167519286026,1.0,0.1345707656612529,0.0,0.07485379476940117,0.016765673374613002
21,0.08491854938796656,0.12784933215987782,0.0,0.1728395061728395,0.2069861763915226,0.0,0.0,0.0,0.11617055071116918,0.07546006265405729
22,0.09429163716673902,0.042075229411822984,0.0,0.12345679012345678,0.1496492799910225,0.0,0.2323943661971831,0.0,0.1238180949617903,0.06720692669700942
